"","GSM3351254","GSM3351255","GSM3351256","GSM3351257","GSM3351258","GSM3351259","GSM3351260","GSM3351261"
"Sephs1",4.23458270368227,4.23090286906281,4.19966103748389,4.0047477863397,4.20135058405155,4.33865376319884,4.2935841262276,4.03253156281441
"Sepn1",3.21342926133014,3.22622545252199,3.56176060109146,2.82310660617122,2.7473032623326,3.35148333370857,3.40385239690323,2.58376909385616
"Sepp1",9.13659486278078,9.40861143484624,8.83372822224956,8.60501032983128,9.08240583684966,8.97045267741052,9.41021758021833,8.54610308570571
"Sepsecs",3.67376729243698,3.52754154319177,3.11473403475184,3.6496100663902,3.59221868633258,3.56114396888362,3.83351070398031,3.93413350942579
"Sept1",2.19426031455683,2.09977492519176,1.95392671181363,0.350896966052601,2.24325651405717,1.69869850471655,2.25415147850065,1.22565686891433
"Sept10",4.07506389004774,4.30328043402232,4.29322606826331,3.52482380210881,4.53283419148093,3.68091978213516,4.43294732514024,3.66089713260726
"Sept11",7.60142187923369,7.20380956474001,7.24557963751912,8.25773039462288,7.5229444208407,7.25378064887976,7.47540234494608,8.09704608809973
"Sept2",6.8746987263235,7.08565422355677,6.9901516988892,6.64321357050766,6.75871208111693,6.61683026145257,7.10881565378492,6.82463957372737
"Sept3",7.01149186394106,7.3925846965646,7.64514897364154,7.80508397061196,7.265153930677,7.67306331000104,7.1972018030028,7.89825257500935
"Sept4",8.32540556934923,8.97512828362571,8.80135905430912,8.09774524590845,8.65642166045464,8.57504572607194,8.9476009893751,8.15735379022459
"Sept5",4.22291906212759,3.80187045552838,4.21036189225702,4.01942923285422,3.59221868633258,3.78484036521337,4.47325395263776,3.96768409898153
"Sept6",5.39289402072493,5.64421900325417,6.2653687777934,6.35665348767173,5.34943478929958,6.12757957173415,5.52603048451593,6.44651282681945
"Sept7",10.2577887136072,10.5426390660707,10.6100653503345,10.9500642350428,10.65965001641,10.47602749749,10.6566589840624,11.0301796214207
"Sept8",7.37643575655939,7.6432113484255,7.65888602900152,7.92201878660088,7.29091989253678,7.59753727692799,7.17140296891028,8.00477895771953
"Sept9",3.09045163238182,3.22622545252199,3.11473403475184,3.37305102396412,3.41610111774325,3.48089782221936,2.94062015848065,4.1589362266239
"Sepw1",9.88783540546872,9.28894482537663,9.55803894253955,8.92457188831683,9.7585835987338,9.19045987956735,9.6491439183117,8.88568956235907
"Serac1",2.53336124195096,1.62240014607775,1.61045836024934,1.51730303286501,1.65566131003917,1.85967079397279,1.82643195572646,2.1298182828697
"Serbp1",9.70079151030672,9.81914558348867,9.80658691836332,10.4636041331614,9.77465228583821,10.060360892752,9.88637547443125,10.3496828879704
"Serf1",5.82578668151368,5.0490548204739,5.42161664670647,5.10152056216968,5.32826115092934,5.2498454414165,5.35860693310688,5.24350969714897
"Serf2",7.89027476025993,7.57784578580702,7.49897515163718,7.17280382187601,8.10536131691948,7.71663873911318,7.99733107944358,7.19414146262685
"Sergef",4.54673764942846,4.17413253491026,4.66400206037278,4.33716176859458,4.53283419148093,4.68153003005906,3.9089185112403,4.73090659064328
"Serhl",2.80773168100343,2.82864327842211,2.81160013036051,2.06215620762756,3.5440543903757,2.31334398918031,2.54633658275078,2.1298182828697
"Serinc1",10.1878922060296,10.2554880066287,10.4131083508737,10.9463075582576,10.1508607577701,10.3913065012128,10.1115577067104,10.8128027204883
"Serinc2",1.54060784921333,1.02312690890859,0.631068154463157,0.631345191337088,2.24325651405717,0.0156836203052728,0.490241306357301,1.55485016862808
"Serinc3",8.38614716538216,8.46987946437134,8.5449731975145,8.18958762947459,8.2800137675686,8.37144754464151,8.54017018242161,8.21785779984202
"Serinc4",0.124608012360076,0.473307678763169,0.865766079981319,1.10504131214213,0.452816275943029,0.977354363672057,1.39430979080414,1.11022633181807
"Serinc5",5.00056410881959,5.72329119202797,5.75699962088078,4.82893426880845,5.65173439332913,5.23524388079245,5.6410723597495,4.98958415347073
"Serp1",5.92989226559795,5.97113365507264,5.76790656378528,5.62276929718307,6.00745384264607,5.9362196655718,5.98217324181149,5.66252776344104
"Serpina3n",2.60699853578345,3.13662404956956,2.49892710694887,2.08094103089385,2.30236061197547,3.12732978192754,2.69007389887281,2.68136559476277
"Serpina9",5.70522163997112,5.89315634371228,5.0086054952473,5.75585169653488,5.78203354951571,5.30215459645892,5.84682641635947,5.1757448039336
"Serpinb1a",4.95898347130835,5.55563015201972,5.3215287060609,4.56105899653397,5.14665788680403,4.97895919136847,4.80867053645337,4.29731300320572
"Serpinb1b",2.33092816112101,2.54002652861251,2.69453179042898,2.80061713283167,3.51935552035512,3.04041383435817,2.50804757654768,2.49451570372607
"Serpinb6b",3.03816707879627,2.82864327842211,3.02059315944599,2.27288098055886,3.18436971977126,2.7291687716905,3.81794436040342,2.39937432048454
"Serpinb8",1.38184298418977,-0.426124355727623,1.32555720864291,2.54053119657924,0.647734251076763,0.880590522683288,0.32387306474168,2.93986510221323
"Serpinb9",3.16548866817961,3.63428047609436,3.52794106314958,3.6496100663902,3.27568534616721,3.31491812625437,3.15402582510545,3.63328690278657
"Serpind1",1.29538845667387,2.04454013025496,1.67368590614701,1.31001243902374,1.82646441316538,1.38264829465465,1.88736227502836,1.11022633181807
"Serpine1",2.09538090509199,1.65963784613037,2.18848497870001,2.04312356346737,2.61367771355549,1.83405866434375,2.38667764777368,2.58376909385616
"Serpine2",9.3719616770386,9.29801404953896,8.67233816305398,9.01312111590595,9.16583626737285,8.87889542791195,9.16390195175446,9.00174306161253
"Serpinf1",3.2598278957838,2.4149403744766,3.09176843682041,1.964378120964,2.70412213029757,2.31334398918031,2.65545971761207,1.94003581589882
"Serping1",3.16548866817961,2.86097573918019,2.75425308218694,1.48945208570903,2.35913833667613,1.93388705859571,2.72387701340399,1.66802712681417
