"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000001158","SNRNP27",35.38875,33.005,50.81,25.86,9.53612295806994,0.269467640367912,8,31.52,39.2575,0.316691746102251
"ENSMUSG00000001173","Ocrl",11.15875,10.205,14.55,9.32,1.92791847412103,0.172771903136196,8,11.66,10.6575,-0.129687095566725
"ENSMUSG00000001175","CALM1",702.945,703.955,923.03,456.19,139.712841520435,0.198753588858923,8,609.3475,796.5425,0.386485577206483
"ENSMUSG00000001211","Agpat3",20.2575,19.785,25.68,15.61,3.33304986889957,0.164534116692562,8,22.2825,18.2325,-0.289384330519128
"ENSMUSG00000001227","Sema6b",4.40125,4.27,5.59,3.5,0.625149982004319,0.142039189322197,8,4.7025,4.1,-0.197758960671545
"ENSMUSG00000001228","Uhrf1",0.79875,0.645,2.46,0.33,0.695422533428419,0.870638539503497,8,0.935,0.6625,-0.496412064213211
"ENSMUSG00000001229","Dpp9",14.43625,14.14,16.8,12.94,1.49785501396402,0.103756516682935,8,13.42,15.4525,0.203441454346416
"ENSMUSG00000001240","Ramp2",14.58375,14.695,18.15,11.07,2.42248359864712,0.166108415095371,8,16.0225,13.145,-0.285565418703997
"ENSMUSG00000001247","Lsr",3.59875,3.235,5.84,2.08,1.26819824385397,0.352399650949348,8,4.42,2.7775,-0.670066494003577
"ENSMUSG00000001248","Gramd1a",48.02,49.665,65.66,23.98,12.4917767236805,0.260136958010839,8,50.5975,45.4425,-0.155020663005373
"ENSMUSG00000001260","Gabrg1",10.235,10.17,13.44,7.24,1.81147926923196,0.176988692646014,8,9.8175,10.6525,0.11775293580391
"ENSMUSG00000001270","Ckb",1758.0175,1729.19,2382.33,1309.98,387.854866256144,0.22062059465059,8,2017.84,1498.195,-0.429586123465259
"ENSMUSG00000001280","Sp1",1.5125,1.395,2.93,1.02,0.621191251893144,0.410704959929351,8,1.33,1.695,0.349625598651307
"ENSMUSG00000001285","Myg1",25.98,27.02,28.5,22.66,2.45957603779885,0.0946719029175846,8,26.52,25.44,-0.0599797954719275
"ENSMUSG00000001288","Rarg",2.86625,2.49,6.09,1.66,1.53019081443179,0.533865090076508,8,3.645,2.0875,-0.803847417876342
"ENSMUSG00000001289","Pfdn5",202.175,212.11,247.04,146.26,38.9210207618307,0.192511540802922,8,181.31,223.04,0.298842479684323
"ENSMUSG00000001300","Efnb2",4.23875,4.33,5.79,2.49,0.962844557993212,0.227152947919366,8,3.6875,4.79,0.37729257781515
"ENSMUSG00000001305","Rrp15",6.43625,6.295,9.4,4.73,1.35629682275989,0.210727803108936,8,5.735,7.1375,0.315575931179744
"ENSMUSG00000001313","Rnd2",14.945,14.375,21.12,8.96,4.05768406852973,0.271507799834709,8,18.11,11.78,-0.620404203146328
"ENSMUSG00000001323","Srr",45.06,45.255,50.23,40.46,2.85401972162572,0.0633382095345256,8,43.32,46.8,0.111472810524968
"ENSMUSG00000001334","Fndc5",9.96875,9.545,13.48,8.1,1.78814698580881,0.179375246225335,8,11.265,8.6725,-0.377289192811741
