gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
GINS3,-1.7668700873589618,4.667486585070398,1.1419936530260471e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Down
P4HA1,1.9224613462199591,6.8737320410323814,1.1452967530212222e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Up
RUNX1,1.4307621527312369,7.531257555263198,1.1473876537190179e-05,0.0017171941562872384,OUD_vs_Control_Female,True,True,True,True,True,Up
LINC02391,-1.8803936927096372,2.9219520769886738,1.2011589121315306e-05,0.0017860916588674678,OUD_vs_Control_Female,True,True,True,True,True,Down
NARF,1.0951130926881527,5.195663119062574,1.2064661782184955e-05,0.0017860916588674678,OUD_vs_Control_Female,True,True,True,True,True,Up
CTNNA1,0.858650857186805,7.901497168688395,1.2219216535278641e-05,0.0017992467874635022,OUD_vs_Control_Female,False,True,True,False,True,Up
ALDH1A1,-1.9323838896943546,4.9983997238421525,1.2510032841579466e-05,0.0018231990347861338,OUD_vs_Control_Female,True,True,True,True,True,Down
AC090630.1,-2.7090788226235882,2.9154894622623266,1.2515021854089134e-05,0.0018231990347861338,OUD_vs_Control_Female,True,True,True,True,True,Down
CD93,2.9879050576757162,1.961337685240642,1.2922873087364436e-05,0.0018680101852372667,OUD_vs_Control_Female,True,True,True,True,True,Up
AC092053.5,-7.132984445989636,-0.3973200188391686,1.2959030787026461e-05,0.0018680101852372667,OUD_vs_Control_Female,True,True,True,True,True,Down
RAB40B,0.7910232629295536,7.430426513697922,1.3203352792899609e-05,0.0018811308874080337,OUD_vs_Control_Female,False,True,True,False,True,Up
