"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"BHLHE40",-0.472774546627001,-0.37868108634701,0.937091966695065,0.669188627955906,0.284241035717577,0.61246155909609,1.02556515067365
"TCF7L2",-1.54818929003135,1.99494472130548,-2.13733372132674,1.14727974224094,-1.27514946013928,-0.345117394460276,-1.86903820022139
"MAFB",0.00793706867718164,-0.581171848073892,0.145957325873931,-0.0189565066039492,-0.0832841379403936,-0.597634124415433,-0.274523696499061
"HOXB13",0.224249214370023,-0.632773802861031,-0.686042361305875,-0.693303724033295,-0.644247451827222,-1.34842042022098,-1.3157332254642
"TEAD1",0.0229154638452488,1.31546032735568,-0.747176451113251,0.0614532981219414,0.178030630341086,0.615764226649711,-0.101531948489462
"ASCL1",0.616640526538205,0.332688281831399,-0.0143135803446644,-0.340051695616944,0.626519445533945,0.225369928640668,-0.00783717238358038
"FOSL2",-2.42071046742489,0.0522031943421428,0.571744847910919,1.97024887057256,-1.16860004567198,0.93921293716725,0.750102481871326
"HNF4G",-1.13940937402519,0.0370773632955882,0.720532423539337,0.938424704919544,-0.481695261258816,0.779521427341328,1.02738317492139
"OTX2",-2.14034960412727,-0.257285798855961,0.363580886237195,1.5099807471734,-2.10215540684937,0.110780039830495,-1.32214544444279
"POU4F2",0.990155758977358,0.329998918833292,-0.489148022666364,-0.801899402430692,0.524158835462321,-0.252051629161479,-0.336085907734627
"SATB1",0.178796453451521,1.43571319236353,-1.65411359346721,-0.931996927634307,-0.910875281020249,-0.360690167726684,-1.45631386136998
"CREB3L1",-1.08132444659342,0.38848270402121,0.56541924074042,1.26481001140761,-0.291058615438028,0.721560645912098,0.773637835201964
"E2F5",-0.432612028990102,-0.0923167781248995,0.514563710698201,0.718831340850875,0.1510369612577,0.349785116990694,0.826906980988015
"GFI1B",1.09856811479883,-0.938793065663698,-0.308079281564475,-1.03633245528108,0.473749142530702,-1.36284157174905,-0.947422194029676
"NCOA3",0.000597311096320021,-0.530955844067887,-0.22653808143874,-0.363031363235408,-0.578316110965192,-0.880286986264005,-0.64325352720073
"ONECUT1",1.85882387781163,1.17541546940622,-1.81973121968321,-2.16628941114318,-0.0591667465640546,-1.04646475722847,-1.85843106857159
"PKNOX1",0.535514363956333,-0.122828111770617,-0.400423863105687,-0.657982503001703,0.209806907665207,-0.532246862339545,-0.726774779094114
"SOX6",1.19342333607332,-1.26165526874292,-0.882883610680797,-1.71361217209829,0.0185644095762497,-1.91625958893916,-1.91337179583502
"TCF4",1.57401252622743,1.90579127479637,-1.07445856736412,-1.45116367076015,-0.53109726729312,0.105321893794071,-0.445351836194625
"TCF7",1.54769286094177,0.763129651468534,-1.47869913691553,-1.82635114291827,0.00903349715110738,-0.770277675227143,-1.14075941122919
"XBP1",0.294256844102645,1.51846580711975,-0.0714267304582116,0.18347892783526,0.456193666375304,1.17706444447156,0.611334490576116
"ZBTB7A",0.533084236424073,-1.43653315676195,-0.305943616847904,-0.986064543445988,-0.250834917652028,-1.55204353767769,-1.2846250416299
"SMAD5",0.841434260581672,-0.469956774446232,-1.05804400048789,-1.19072460450787,-0.0806306549037842,-1.41819950920386,-1.61453548415315
"KDM5B",0.276649696325712,-0.469466414909981,0.0397276267353489,-0.159513264238832,0.187279898633437,-0.645045291928034,-0.669284325600213
"DEAF1",0.233636742046431,-0.430388468099144,1.25664090307285,0.548707092184753,1.07872849030265,0.826788172571897,1.25441125769037
"ARID2",-1.48293476993711,-0.300236835285828,-0.0526179015046713,0.867650705384713,-1.14025370281501,-0.264166554879672,-0.240383176464032
"ARID3A",-0.270437560087352,-0.473649650554682,1.40443908105236,0.941269141821274,0.791485862918456,1.14737479017278,1.73614830108787
"ATF7",0.103253549973826,-0.487723432773995,-0.710369918239176,-0.762785925038728,-0.800554511672802,-1.15733336544041,-1.30995048936684
"BATF",0.0987539625948672,1.64902412856888,-0.412218505300187,0.0132206598707207,0.285701941002997,1.12458612759891,-0.211373245519
"BCL11A",-0.253335630208986,-0.320655466318778,-0.448912100350109,-0.278441115892589,-0.719496508129477,-0.807962692134552,-0.926759657875856
"BHLHE22",-1.77316883360863,1.79449624924856,-0.018416039768618,1.44108417943157,-1.01776522843003,1.72639058597343,0.999979429593697
"CREB3",0.492176595446041,0.25263975424565,0.0720393769189974,-0.399174051338415,0.240859438643698,0.232416822255739,0.204558135303272
