"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BACH2","OUD_Effect_Male_vs_Female_results",-2.37301674832278,0.0176506133913209
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SOX9","OUD_Effect_Male_vs_Female_results",-2.37276250433926,0.0176627640736017
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ATF3","OUD_Effect_Male_vs_Female_results",-2.37225664675767,0.0176869615354836
"OUD_Effect_Male_vs_Female_results_ulm","ulm","GABPA","OUD_Effect_Male_vs_Female_results",-2.36946089436885,0.017821219770345
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TEAD1","OUD_Effect_Male_vs_Female_results",-2.36552994606099,0.0180115028660137
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BATF","OUD_Effect_Male_vs_Female_results",-2.364185149178,0.0180770069958438
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZNF740","OUD_Effect_Male_vs_Female_results",-2.3527893104533,0.0186405168323187
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BHLHE22","OUD_Effect_Male_vs_Female_results",-2.31270216394331,0.0207467032339987
"OUD_Effect_Male_vs_Female_results_ulm","ulm","HMBOX1","OUD_Effect_Male_vs_Female_results",-2.30886905760503,0.02095856565628
"OUD_Effect_Male_vs_Female_results_ulm","ulm","KMT2A","OUD_Effect_Male_vs_Female_results",-2.30168119320376,0.0213609382828636
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MEIS2","OUD_Effect_Male_vs_Female_results",-2.29300143108149,0.0218557799841025
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZNF274","OUD_Effect_Male_vs_Female_results",-2.29202962595888,0.021911799693404
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SNAPC4","OUD_Effect_Male_vs_Female_results",-2.29023797811876,0.02201540679827
"OUD_Effect_Male_vs_Female_results_ulm","ulm","STAT5A","OUD_Effect_Male_vs_Female_results",-2.28545812268117,0.022293903266838
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ATF2","OUD_Effect_Male_vs_Female_results",-2.2776359989694,0.0227562667777978
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BMAL1","OUD_Effect_Male_vs_Female_results",-2.27279189668195,0.0230467592192004
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MEF2B","OUD_Effect_Male_vs_Female_results",-2.25377292934085,0.0242186593447745
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SOX13","OUD_Effect_Male_vs_Female_results",-2.24314480564927,0.0248957738682631
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZNF143","OUD_Effect_Male_vs_Female_results",-2.2195066979694,0.026460773537019
"OUD_Effect_Male_vs_Female_results_ulm","ulm","LYL1","OUD_Effect_Male_vs_Female_results",-2.1767363886743,0.0295091104977812
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NR4A1","OUD_Effect_Male_vs_Female_results",-2.17600541219159,0.0295637309623528
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BCL6","OUD_Effect_Male_vs_Female_results",-2.17551240276253,0.0296006189933519
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TGIF2","OUD_Effect_Male_vs_Female_results",-2.14409618276488,0.0320343245955281
