gene,log_fc,p_value,adj_p_value,oud_mean,ctrl_mean,significant
WIPF1,0.0,2.807705994269305e-301,1.5714772355984917e-300,2.849080136712413,2.849080136712413,False
DEPTOR,0.0,0.0,0.0,1.800770072282875,1.800770072282875,False
LINC01091,0.0,0.004948754259991223,0.005612953792050536,0.23836007362044134,0.23836007362044134,False
NFATC2,0.0,4.021194127072869e-26,6.527912543949462e-26,0.33758222549639144,0.33758222549639144,False
PLA2G4C,0.0,5.738954486181089e-65,1.2539594652981259e-64,1.106746933063634,1.106746933063634,False
KIAA1217,0.0,2.894498027310874e-43,5.492406123929552e-43,0.34808399129394796,0.34808399129394796,False
ERC1,0.0,2.1959932732444083e-38,4.009726001054915e-38,2.1160842949826355,2.1160842949826355,False
AC245297.3,0.0,2.4962758696083437e-49,4.943120533877908e-49,2.913555662344789,2.913555662344789,False
SLC7A5,0.0,3.977815444959852e-09,5.238562921369427e-09,0.15563875636818067,0.15563875636818067,False
RPL13A,0.0,0.0,0.0,0.76216810741255,0.76216810741255,False
STK33,0.0,1.3687952206303104e-32,2.3681578211597066e-32,0.3804541465848511,0.3804541465848511,False
FAM13A,0.0,1.1985449378760986e-32,2.0748037008818788e-32,0.6016289235653777,0.6016289235653777,False
ARHGAP42,0.0,3.1020481490015727e-41,5.780213942238955e-41,0.41630984390310594,0.41630984390310594,False
STXBP6,0.0,9.134771269284929e-26,1.4773214990757296e-25,2.4378831478499308,2.4378831478499308,False
SPATA13,0.0,2.781803835543989e-209,1.1956176943598808e-208,2.2588336107139453,2.2588336107139453,False
PLEKHG1,0.0,4.130438676598501e-29,6.953600465654043e-29,0.4324516872505361,0.4324516872505361,False
NKX6-2,0.0,7.336465763107453e-62,1.5709776794662643e-61,1.3257212388526365,1.3257212388526365,False
ARL17B,0.0,0.0,0.0,1.043897013878505,1.043897013878505,False
HIP1R,0.0,8.559501997107933e-64,1.855383380875997e-63,1.6228692645344491,1.6228692645344491,False
CAMK2G,0.0,4.0098677077029762e-50,7.987784278292782e-50,0.48925167685953447,0.48925167685953447,False
SLC38A1,0.0,2.1257145523667177e-08,2.7523278623651933e-08,0.7679185437779857,0.7679185437779857,False
ATP2C1,0.0,8.098537954481305e-146,2.7703094485112785e-145,1.6092635933308193,1.6092635933308193,False
PLOD2,0.0,3.045440849585854e-65,6.663984353579548e-65,0.43519285562151455,0.43519285562151455,False
AC053513.1,0.0,3.222053117993897e-91,8.36172954496686e-91,0.6662292541602364,0.6662292541602364,False
ARHGEF12,0.0,1.1936003053266972e-17,1.7648107027994537e-17,1.3018213371618157,1.3018213371618157,False
ZFHX4,0.0,9.786542526434068e-24,1.5525979682338553e-23,2.6134395577861462,2.6134395577861462,False
SCARB2,0.0,1.8241082146369019e-65,4.00316360198296e-65,2.611155251428756,2.611155251428756,False
RREB1,0.0,2.691422270915433e-09,3.563224542253442e-09,0.37224183619240303,0.37224183619240303,False
LINC01099,0.0,2.796025099048628e-66,6.199612193012478e-66,1.1436904703620348,1.1436904703620348,False
GASK1A,0.0,4.858433812230383e-16,7.027628465135559e-16,0.3319246550832137,0.3319246550832137,False
GNB4,0.0,8.097521779968175e-60,1.7059385772404866e-59,0.35752239845113043,0.35752239845113043,False
EPB41,0.0,2.6201885132033568e-36,4.706925472820401e-36,0.3935098435236828,0.3935098435236828,False
AC087564.1,0.0,0.0,0.0,2.1398390016198165,2.1398390016198165,False
OSBPL6,0.0,9.438589809490881e-36,1.6834583488984924e-35,0.5493203695323773,0.5493203695323773,False
FGFR1,0.0,1.111495519656034e-62,2.395464482017315e-62,0.4355489556267392,0.4355489556267392,False
SULF2,0.0,0.4932582222570704,0.5065986534649816,0.2888939249640346,0.2888939249640346,False
PPP2R3A,0.0,0.0,0.0,2.401236778240405,2.401236778240405,False
FAF1,0.0,0.0,0.0,4.56899364544995,4.56899364544995,False
COL9A1,0.0,3.786115222103486e-21,5.83676550170116e-21,0.2701928724513129,0.2701928724513129,False
SMARCA2,0.0,0.7519133756621063,0.7618169966181422,1.6018880218201186,1.6018880218201186,False
AC025159.1,0.0,0.0,0.0,1.6355402401868728,1.6355402401868728,False
NFIX,0.0,1.2808320417358509e-44,2.4552690895894903e-44,2.3777323017590013,2.3777323017590013,False
ERBB3,0.0,0.0011484976778522679,0.0013272315229417582,1.9674668077108328,1.9674668077108328,False
AL392023.2,0.0,0.07343702126281929,0.0794772957389819,1.3978567026166628,1.3978567026166628,False
GAREM1,0.0,0.1453412639373477,0.15489299886751087,2.816466308928902,2.816466308928902,False
ARGLU1,0.0,0.0,0.0,3.900166198357495,3.900166198357495,False
AC007389.1,0.0,5.887576413715018e-12,8.094743006940904e-12,0.4188087575092884,0.4188087575092884,False
RNF213,0.0,0.042690144606734585,0.04663890525134879,1.0593246359702406,1.0593246359702406,False
PACS1,0.0,1.3907780862593907e-21,2.1573600097094997e-21,0.9176689057620759,0.9176689057620759,False
GREM1,0.0,7.07419561996365e-70,1.6102114461222268e-69,1.2753565829330122,1.2753565829330122,False
CNTN4,0.0,1.3778779676643335e-39,2.5359717196276078e-39,0.3508879411579153,0.3508879411579153,False
