"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"AC021739.2",0.702551075596372,2.66127292609538,4.46350837873257,0.000247768481911843,0.0737184429883805,0.579779961105004,"gse225158"
"CDKN1A",-2.86102673517577,0.677494028717007,-4.46307745063029,0.000248015231987952,0.0737184429883805,0.570754045362429,"gse225158"
"ITGB3",-1.36806513979631,0.729221714100094,-4.46154610991204,0.000248894085999321,0.0737184429883805,0.595386039809838,"gse225158"
"RHOJ",1.43361574116955,4.17550099196367,4.45785114867018,0.000251027615170422,0.0737184429883805,0.507300995130072,"gse225158"
"CAMK2G",0.793187244308658,5.34447011787394,4.43685837068986,0.000263503863102833,0.0765029568001622,0.411630570301317,"gse225158"
"AC114971.1",0.985638532654696,6.19886370332756,4.43064714825683,0.000267313711210345,0.0767370562664393,0.390801595680888,"gse225158"
"RGS16",-2.91852095133552,0.896771638781514,-4.42184294362275,0.000272809338098978,0.0774445086565643,0.499198927610008,"gse225158"
"SIGLEC7",-2.90347784899206,-2.19696465315719,-4.41685705373832,0.000275971890460153,0.0774813827402906,-0.226081804341103,"gse225158"
"ST6GAL2",0.787186911330667,4.92381882595503,4.37074742978848,0.000307026719892014,0.0833428093218141,0.273548704977069,"gse225158"
"CAPN9",-0.897061642852856,1.68784263559702,-4.37000051689879,0.000307557715776139,0.0833428093218141,0.425451071118058,"gse225158"
"SLC15A2",1.00568117073445,4.44268190660437,4.36273765615807,0.000312769468961539,0.0833428093218141,0.271219564250815,"gse225158"
"SHROOM3",1.25736621264641,4.6595237746051,4.3590212893041,0.000315470577204876,0.0833428093218141,0.263996509619316,"gse225158"
"LINC00654",0.81101188457588,2.82430711654572,4.35621128878899,0.000317528499211427,0.0833428093218141,0.334856190246852,"gse225158"
"PGBD5",0.518726920215504,6.3871368623649,4.35350321127492,0.00031952455839041,0.0833428093218141,0.21746541433721,"gse225158"
"TMEM117",0.541014047796773,7.20079521378942,4.34631274959231,0.00032488595494661,0.0833428093218141,0.206551997661681,"gse225158"
"CLYBL",0.50141300391227,5.41825299859387,4.33894500154649,0.000330473438986095,0.0833428093218141,0.188298919666305,"gse225158"
"PIM1",-2.07190494781219,0.681956146971344,-4.33733236773984,0.000331709250607664,0.0833428093218141,0.322233710442203,"gse225158"
"MAFF",-1.41292141219864,0.858285864470947,-4.33543195596169,0.000333171563555696,0.0833428093218141,0.3382478074195,"gse225158"
"CEBPB",-1.23351148538748,3.08884077491984,-4.33391841917257,0.000334340824247378,0.0833428093218141,0.296246876576499,"gse225158"
"HHIPL1",0.608482037576036,3.73911722417681,4.33178761147497,0.000335993947322668,0.0833428093218141,0.226003914954322,"gse225158"
"NR4A3",1.43456366349919,1.78594851474009,4.32726703281568,0.000339528374016748,0.0834097156514797,0.321033817275302,"gse225158"
"CEBPD",-2.12689377456101,2.85442283501153,-4.31312192017171,0.000350831137257575,0.0853655688170836,0.279492073196026,"gse225158"
"IRF1",-1.53439312364574,1.925687345993,-4.28715913360932,0.000372570608641643,0.0867729027175385,0.247920746982807,"gse225158"
"ASB3",0.449173935814463,7.76581050118776,4.28212534583639,0.000376939738283812,0.0867729027175385,0.0692588531715472,"gse225158"
